offset_hex	offset_dec	percent_identical	differing_bytes
0x00000	0	8.13	3763
0x01000	4096	2.39	3998
0x02000	8192	26.59	3007
0x03000	12288	6.67	3823
0x04000	16384	72.58	1123
0x05000	20480	100.00	0
0x06000	24576	100.00	0
0x07000	28672	99.02	40
0x08000	32768	77.20	934
0x09000	36864	1.71	4026
0x0A000	40960	3.08	3970
0x0B000	45056	1.93	4017
0x0C000	49152	2.34	4000
0x0D000	53248	1.49	4035
0x0E000	57344	96.17	157
0x0F000	61440	100.00	0
0x10000	65536	59.23	1670
0x11000	69632	100.00	0
0x12000	73728	100.00	0
0x13000	77824	100.00	0
0x14000	81920	100.00	0
0x15000	86016	100.00	0
0x16000	90112	100.00	0
0x17000	94208	100.00	0
0x18000	98304	76.64	957
0x19000	102400	100.00	0
0x1A000	106496	100.00	0
0x1B000	110592	100.00	0
0x1C000	114688	100.00	0
0x1D000	118784	100.00	0
0x1E000	122880	100.00	0
0x1F000	126976	100.00	0
